RefID,Database,Reference,LatDec,LongDec,Site ,SiteID,Country,ID,Ecosystem,SiteDescrip,Class,ShoulderSeason,Seas,Year.P,Years,SampleDays,Month.Numbers,SampMonths,Meth,Coll,Occ,GrowSL,CH4An,log.CH4,CH4.Pos,CH4Av,CH4Md,CH4Mx,NEPPer,ERPer,GEPPer,MAAT,MAP,TPer,AveGridTemp,TSoilA,TsoilB,TSoilDepth,WTAv,WTFit,WTMax,WTMin,WTFluc,SoilMoist,SoilMostD,Org,AL,Thaw,PfReg,PfConA,PfTh,pH,Sedge,Sphag,Moss,Trees,Shrubs,Annual.Temp,TotalID,CD_Pcp_An,BIOME
59,Olefeldt,"Moore et al., 1994, JGR",51.3,-80.63333333,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,14,Tamarach fen,"Treed low shrub fen, hummock",Fen,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.041392685,11,1,-,-,-,-,-,-,-,10.8,13.78333333,-,10.5,20,-20,-20,-,-,-,-,-,60,-,-,S,A,N,-,P,P,-,D,D,-0.33,NorthPointFen,695.865,6
59,Olefeldt,"Moore et al., 1994, JGR",51.55,-81.76666667,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,23,Bog  ,Conifer feather moss forest,PermBog,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.096910013,12.5,2.5,-,-,-,-,-,-,-,10.8,13.85,-,8.3,20,-20,-20,-,-,-,-,-,200,-,-,S,A,N,-,P,P,A,A,-,-0.5,NorthPointPermBog,646.415,6
59,Olefeldt,"Moore et al., 1994, JGR",51.55,-81.76666667,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,25,Bog  ,"Open lichen rich low shrub bog, hollow",Bog,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.10720997,12.8,2.8,-,-,-,-,-,-,-,-,13.85,-,7.8,20,-5,-5,-,-,-,-,-,200,-,-,S,A,N,-,A,P,A,A,-,-0.5,NorthPointBog,646.415,6
59,Olefeldt,"Moore et al., 1994, JGR",51.47,-80.61666667,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,6,Coastal Fen,open low shrub fen,Fen,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.120573931,13.2,3.2,-,-,-,-,-,-,-,10.8,13.78333333,-,12.3,23,-16,-16,-,-,-,-,-,63,-,-,S,A,N,-,P,P,-,D,D,2.67,NorthPointFen,695.865,6
59,Olefeldt,"Moore et al., 1994, JGR",51.52,-80.45,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,22,Interior fen,Incipient palsa,PermBog,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.127104798,13.4,3.4,-,-,-,-,-,-,-,10.8,13.78333333,-,7,23,-6,-6,-,-,-,-,-,63,-,-,S,A,N,-,A,P,-,D,D,2.67,NorthPointPermBog,-,-
59,Olefeldt,"Moore et al., 1994, JGR",51.55,-81.76666667,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,24,Bog  ,"Open lichen rich low shrub bog, hummock",Bog,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.130333768,13.5,3.5,-,-,-,-,-,-,-,-,13.85,-,10.6,20,-21,-21,-,-,-,-,-,200,-,-,S,A,N,-,P,P,A,A,-,-0.5,NorthPointBog,646.415,-
59,Olefeldt,"Moore et al., 1994, JGR",51.3,-80.63333333,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,15,Tamarach fen,"Treed low shrub fen, hollow",Fen,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.130333768,13.5,3.5,-,-,-,-,-,-,-,10.8,13.78333333,-,12.1,20,-2,-2,-,-,-,-,-,60,-,-,S,A,N,-,P,P,-,D,D,-0.33,NorthPointFen,695.865,6
59,Olefeldt,"Moore et al., 1994, JGR",51.3,-80.63333333,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,"10,12",Tamarach fen,"Treed low shrub fen, hummock",Fen,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.167317335,14.7,4.7,-,-,-,-,-,-,-,10.8,13.78333333,-,8.2,20,-17,-17,-,-,-,-,-,60,-,-,S,A,N,-,P,P,-,D,D,-0.33,NorthPointFen,695.865,6
59,Olefeldt,"Moore et al., 1994, JGR",51.55,-81.76666667,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,31,Bog  ,Trees low shrub lichen rich bog,Bog,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.209515015,16.2,6.2,-,-,-,-,-,-,-,-,13.85,-,9.3,20,-15,-15,-,-,-,-,-,200,-,-,S,A,N,-,P,P,A,A,-,-0.5,NorthPointBog,646.415,6
59,Olefeldt,"Moore et al., 1994, JGR",51.52,-80.45,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,17,Interior fen,open low shrub fen,Fen,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.212187604,16.3,6.3,-,-,-,-,-,-,-,10.8,13.78333333,-,13.6,23,-11,-11,-,-,-,-,-,63,-,-,S,A,N,-,P,P,-,D,D,2.67,NorthPointFen,-,-
59,Olefeldt,"Moore et al., 1994, JGR",51.52,-80.45,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,18,Interior fen,open graminoid fen,Fen,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.225309282,16.8,6.8,-,-,-,-,-,-,-,10.8,13.78333333,-,12.7,23,-8,-8,-,-,-,-,-,63,-,-,S,A,N,-,P,P,-,D,D,2.67,NorthPointFen,-,-
59,Olefeldt,"Moore et al., 1994, JGR",51.55,-81.76666667,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,32,Bog  ,"Open lichen rich low shrub bog, hummock",Bog,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.257678575,18.1,8.1,-,-,-,-,-,-,-,-,13.85,-,10.4,20,-20,-20,-,-,-,-,-,200,-,-,S,A,N,-,P,P,A,A,-,-0.5,NorthPointBog,646.415,6
59,Olefeldt,"Moore et al., 1994, JGR",51.47,-80.61666667,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,7,Coastal Fen,open graminoid fen,Fen,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.324282455,21.1,11.1,-,-,-,-,-,-,-,10.8,13.78333333,-,11.9,23,-1,-1,-,-,-,-,-,63,-,-,S,A,N,-,P,P,-,D,D,2.67,NorthPointFen,695.865,6
59,Olefeldt,"Moore et al., 1994, JGR",51.52,-80.45,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,19,Interior fen,open graminoid fen,Fen,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.357934847,22.8,12.8,-,-,-,-,-,-,-,10.8,13.78333333,-,13.3,23,-5,-5,-,-,-,-,-,63,-,-,S,A,N,-,P,P,-,D,D,2.67,NorthPointFen,646.415,-
59,Olefeldt,"Moore et al., 1994, JGR",51.55,-81.76666667,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,33,Bog  ,"Open lichen rich low shrub bog, hollow",Bog,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.404833717,25.4,15.4,-,-,-,-,-,-,-,-,13.85,-,9.7,20,-5,-5,-,-,-,-,-,200,-,-,S,A,N,-,P,P,A,A,-,-0.5,NorthPointBog,695.865,6
59,Olefeldt,"Moore et al., 1994, JGR",51.3,-80.63333333,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,"11,13",Tamarach fen,"Treed low shrub fen, hollow",Fen,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.421603927,26.4,16.4,-,-,-,-,-,-,-,10.8,13.78333333,-,6.3,20,-1,-1,-,-,-,-,-,60,-,-,S,A,N,-,P,P,-,D,D,-0.33,NorthPointFen,646.415,6
