"","HL_SHORE_L","HL_FRAC_L","Cell_ID"
"492",135.99,98.013,13387
"493",4018.32,6.76683,1189
"494",0,0,22054
"495",0,0,22616
"496",0,0,21487
"497",0,0,16993
"498",0,0,14581
"499",0,0,12364
"500",0,0,6206
"501",0,0,3302
"502",0,0,22442
"503",0,0,15733
"504",0,0,3959
"505",0,0,10369
"506",0,0,20688
"507",0,0,22723
"508",0,0,8222
"509",0,0,5165
"510",0,0,7627
"511",0,0,12334
"512",0,0,11069
"513",0,0,16729
"514",0,0,22764
"515",16.79,100,3424
"516",0,0,22394
"517",0,0,5147
"518",0,0,5679
"519",137.3,65.282,13268
"520",0,0,6175
"521",0,0,21040
"522",0,0,21504
"523",84.23,7.31591,2247
"524",0,0,7670
"525",0,0,5744
"526",24.11,100,14437
"527",0,0,11235
"528",0,0,10335
"529",0,0,11746
"530",163.65,80.6213,14914
"531",0,0,8662
"532",0,0,16302
"533",0,0,6246
"534",22.1,100,19328
"535",0,0,12733
"536",0,0,19733
"537",0,0,3301
"538",0,0,2850
"539",0,0,18212
"540",0,0,6744
"541",0,0,5627
"542",0,0,18021
"543",0,0,15514
"544",0,0,262
"545",0,0,14926
"546",0,0,5412
"547",0,0,11701
"548",78.77,57.427,17786
"549",0,0,3328
"550",0,0,21378
"551",0,0,15781
"552",0,0,10831
"553",35.91,29.7397,21269
"554",0,0,8072
"555",0,0,19841
"556",0,0,2761
"557",0,0,10921
"558",483,58.4415,8477
"559",0,0,6308
"560",0,0,11099
"561",0,0,11245
"562",554.62,32.0291,17039
"563",46.76,8.06441,14139
"564",171.53,100,275
"565",25.4,100,8594
"566",0,0,20218
"567",0,0,14646
"568",0,0,17498
"569",0,0,23092
"570",0,0,4529
"571",0,0,16689
"572",0,0,19922
"573",0,0,21486
"574",0,0,9168
"575",100.92,85.162,2459
"576",2536.62,2.28465,5101
"577",0,0,18056
"578",0,0,1932
"579",0,0,10787
"580",0,0,17336
"581",0,0,21384
"582",0,0,8758
"583",0,0,10781
"584",0,0,22588
"585",4497.23,9.78756,10702
"586",0,0,21793
"587",0,0,4707
"588",0,0,7684
"589",1795.84,6.14118,7003
"590",0,0,21912
"591",0,0,4143
"592",0,0,20325
"593",701.81,45.9714,294
"594",0,0,16477
"595",489.72,0.660849,13014
"596",0,0,19078
"597",0,0,4054
"598",0,0,2477
"599",606.25,43.9168,856
"600",0,0,3010
"601",0,0,14844
"602",209.24,100,9593
"603",0,0,11547
"604",0,0,8331
"605",0,0,11249
"606",0,0,22724
"607",0,0,18615
"608",2413.79,0.060771,6507
"609",0,0,14637
"610",0,0,11199
"611",0,0,5375
"612",0,0,20948
"613",58.42,71.6262,10794
"614",42.56,100,7975
"615",0,0,22150
"616",0,0,19868
"617",0,0,19914
"618",117.93,37.9275,9689
"619",0,0,12644
"620",0,0,19704
"621",0,0,8077
"622",0,0,7890
"623",0,0,19839
"624",63.52,100,19349
"625",751.25,62.6587,1428
"626",0,0,13845
"627",0,0,7064
"628",1014.29,36.2562,2456
"629",0,0,17704
"630",0,0,6114
"631",0,0,22666
"632",195.48,56.8957,11362
"633",109.88,86.598,1413
"634",0,0,18928
"635",0,0,11516
"636",0,0,12467
"637",0,0,16813
"638",0,0,18113
"639",0,0,2583
"640",0,0,3383
"641",0,0,2773
"642",61.35,92.3737,9678
"643",0,0,1217
"644",0,0,6758
"645",0,0,5295
"646",0,0,13771
"647",0,0,19828
"648",50.23,34.8416,10753
"649",0,0,4848
"650",0,0,10625
"651",272.61,71.8622,909
"652",3287.4,34.3536,5484
"653",0,0,21297
"654",0,0,10476
"655",196.59,32.981,775
"656",0,0,16656
"657",0,0,22380
"658",0,0,17677
"659",0,0,17854
"660",489.03,58.1334,4927
"661",0,0,13305
"662",0,0,5292
"663",0,0,9437
"664",696.19,4.2329,15691
"665",26.11,100,5329
"666",0,0,3708
"667",0,0,9038
"668",0,0,15557
"669",0,0,20516
"670",0,0,20673
"671",1466.79,4.83685,1233
"672",0,0,11149
"673",0,0,21872
"674",0,0,18643
"675",0,0,4095
"676",0,0,17312
"677",6003.53,1.6048,11895
"678",0,0,16779
"679",0,0,741
"680",0,0,10016
"681",0,0,1719
"682",40.24,33.761,4215
"683",0,0,3123
"684",0,0,7229
"685",0,0,19325
"686",177.6,38.786,12513
"687",0,0,16059
"688",0,0,5621
"689",0,0,20623
"690",0,0,7216
"691",0,0,18628
"692",280.68,83.8648,15974
"693",0,0,20705
"694",0,0,7697
"695",0,0,19002
"696",0,0,16326
"697",0,0,16295
"698",0,0,19314
"699",0,0,9751
"700",0,0,21095
"701",0,0,1507
"702",0,0,7107
"703",0,0,19740
"704",0,0,2476
"705",0,0,16154
"706",0,0,23417
"707",236.04,47.3561,11482
"708",0,0,7700
"709",0,0,21155
"710",0,0,11591
"711",120.66,55.924,1408
"712",67.15,42.0367,19013
"713",0,0,18271
"714",53,100,9431
"715",0,0,8157
"716",0,0,13223
"717",1025.45,19.5652,10279
"718",2557.41,5.39829,5004
"719",0,0,697
"720",0,0,10456
"721",23.21,100,14575
"722",0,0,428
"723",0,0,14589
"724",2449.66,55.5976,7409
"725",0,0,19894
"726",0,0,2104
"727",0,0,15697
"728",0,0,11227
"729",0,0,11523
"730",0,0,23428
"731",0,0,21723
"732",0,0,8279
"733",0,0,21358
"734",0,0,17095
"735",29.51,100,16400
"736",175.24,89.2273,4654
"737",0,0,6939
"738",121.53,63.7837,6075
"739",0,0,837
"740",0,0,10881
"741",0,0,15990
"742",0,0,12440
"743",0,0,9826
"744",0,0,1654
"745",0,0,17575
"746",0,0,8756
"747",0,0,5129
"748",0,0,17769
"749",0,0,14830
"750",0,0,21577
"751",0,0,9152
"752",0,0,21149
"753",658.6,52.269,6575
"754",0,0,4313
"755",0,0,22407
"756",345.14,42.8177,2216
"757",0,0,17220
"758",0,0,13381
"759",79.33,96.9628,1756
"760",0,0,17885
"761",0,0,19523
"762",0,0,6870
"763",0,0,20881
"764",0,0,14213
"765",0,0,23042
"766",0,0,5115
"767",577.05,49.9617,17390
"768",45.83,100,14872
"769",0,0,7281
"770",11424.6,2.75739,7506
"771",0,0,4680
"772",0,0,20436
"773",0,0,17105
"774",125.17,88.0674,14363
"775",32.17,26.8746,6452
"776",0,0,20109
"777",0,0,15631
"778",0,0,7348
"779",1831.41,23.679,16135
"780",0,0,15159
"781",0,0,6161
"782",0,0,20965
"783",136.81,24.2364,10852
"784",0,0,13479
"785",0,0,684
"786",0,0,4177
"787",0,0,19028
"788",73.33,88.6631,734
"789",82.94,2.94568,2907
"790",36.77,12.8427,17703
"791",149.66,53.7389,14859
"792",0,0,7991
"793",0,0,21691
"794",0,0,21056
"795",12.64,100,11434
"796",0,0,826
"797",0,0,9597
"798",0,0,15338
"799",28.32,100,11497
"800",0,0,10590
"801",0,0,6532
"802",0,0,12151
"803",0,0,19710
"804",0,0,8336
"805",138.89,99.4948,15997
"806",0,0,18028
"807",0,0,17301
"808",0,0,10594
"809",87.86,55.4724,8135
"810",0,0,22025
"811",0,0,20177
"812",176.41,93.2388,4213
"813",0,0,10514
"814",56.11,84.7359,17772
"815",0,0,16014
"816",0,0,14128
"817",0,0,8280
"818",216.45,11.3657,1788
"819",0,0,12144
"820",302.33,64.7158,18102
"821",0,0,18402
"822",0,0,4836
"823",0,0,2882
"824",0,0,16515
"825",0,0,3792
"826",79.5,68.3792,14515
"827",0,0,10175
"828",74.66,100,9666
"829",0,0,22662
"830",0,0,6519
"831",421.07,57.308,2242
"832",767.6,9.51635,11481
"833",0,0,6079
"834",0,0,14389
"835",0,0,22986
"836",0,0,22137
"837",0,0,3999
"838",0,0,9384
"839",0,0,13041
"840",0,0,2390
"841",0,0,9910
"842",0,0,19317
"843",2714.33,41.1723,2963
"844",0,0,19995
"845",0,0,12958
"846",0,0,12441
"847",75.47,33.8889,9787
"848",0,0,19668
"849",65.54,25.8858,19006
"850",0,0,18052
"851",0,0,22621
"852",0,0,2339
"853",752.75,40.4734,12091
"854",0,0,21438
"855",0,0,5653
"856",0,0,22827
"857",0,0,13071
"858",0,0,4341
"859",0,0,12462
"860",661.92,42.2894,13669
"861",143.76,63.785,9519
"862",0,0,4930
"863",0,0,11580
"864",0,0,12274
"865",205.63,90.593,6927
"866",0,0,7181
"867",0,0,11349
"868",0,0,18810
"869",0,0,17364
"870",59.68,75.2571,13758
"871",0,0,12335
"872",0,0,8095
"873",0,0,7807
"874",0,0,9374
"875",0,0,2538
"876",0,0,17110
"877",0,0,23418
"878",0,0,8699
"879",0,0,5474
"880",0,0,19390
"881",20.67,17.3932,14807
"882",0,0,13644
"883",164.02,89.8175,18448
"884",0,0,8269
"885",0,0,4847
"886",65.98,100,14619
"887",0,0,17174
"888",0,0,15553
"889",306.11,48.0087,17718
"890",0,0,17535
"891",0,0,20219
"892",0,0,20485
"893",0,0,7324
"894",0,0,12463
"895",0,0,20701
"896",0,0,21375
"897",0,0,6327
"898",0,0,19741
"899",24.66,100,4604
"900",0,0,7276
"901",0,0,9683
"902",314.87,15.3906,5425
"903",81.37,99.4946,1243
"904",10466.4,8.67531,3178
"905",0,0,10212
"906",114.18,100,5979
"907",350.39,56.8546,13670
"908",0,0,20191
"909",0,0,5198
"910",0,0,16210
"911",0,0,23183
"912",0,0,1002
"913",0,0,17507
"914",176.69,87.4261,7842
"915",54.81,54.709,15625
"916",428.1,54.1704,13274
"917",0,0,16197
"918",0,0,21186
"919",0,0,5156
"920",942.31,62.9475,2969
"921",371.97,63.3425,215
"922",0,0,18965
"923",202.88,46.1996,2177
"924",0,0,15362
"925",0,0,17505
"926",0,0,14071
"927",0,0,21205
"928",0,0,19005
"929",55.72,100,17437
"930",0,0,13502
"931",46.24,98.8903,3425
"932",0,0,3572
"933",0,0,4489
"934",459.43,61.8619,11452
"935",0,0,13551
"936",0,0,17146
"937",0,0,7303
"938",0,0,20213
"939",149.72,77.9658,5398
"940",0,0,17233
"941",0,0,9369
"942",0,0,666
"943",5579.68,0.0496556,268
"944",0,0,18488
"945",544.25,46.7518,1765
"946",3642.86,12.6854,8467
"947",0,0,22092
"948",0,0,20065
"949",0,0,2823
"950",0,0,6860
"951",0,0,16099
"952",33.8,39.359,16184
"953",0,0,17265
"954",147.95,65.796,1241
"955",0,0,9876
"956",0,0,8833
"957",0,0,13822
"958",0,0,14130
"959",0,0,4135
"960",0,0,16878
"961",28.65,100,13273
"962",0,0,13300
"963",0,0,18527
"964",0,0,19987
"965",0,0,16774
"966",0,0,824
"967",0,0,21311
"968",0,0,5498
"969",271.94,97.9326,14860
"970",0,0,17893
"971",92.69,100,11947
"972",81.99,24.5062,14495
"973",0,0,7443
"974",27.61,64.3035,9070
"975",0,0,22708
"976",34.24,91.0633,14408
"977",0,0,19113
"978",0,0,22039
"979",0,0,23452
"980",0,0,15925
"981",0,0,14734
"982",0,0,11039
"983",0,0,7191
"984",0,0,12846
"985",0,0,21067
"986",0,0,11403
"987",0,0,17853
"988",0,0,7154
"989",0,0,570
"990",1107.08,35.6644,12507
"991",0,0,6713
"992",0,0,14073
"993",0,0,17006
"994",0,0,22789
