"","TotalID","TsoilB","Class","Occ.w","log.CH4","CH4Av","Annual.Temp"
"155","LekVorkutaKomiPermWet",5.1,"PermWet",1.07918124604762,1.930439595,75.2,-5
"156","LekVorkutaKomiPermWet",5.5,"PermWet",1.07918124604762,1.955206538,80.2,-5
"157","LekVorkutaKomiPermBog",5.3,"PermBog",1.17609125905568,0.903089987,-2,-5
"158","LekVorkutaKomiPermBog",4.2,"PermBog",1.17609125905568,1,0,-5
"161","LekVorkutaKomiPermBog",6.2,"PermBog",1.17609125905568,1.146128036,4,-5
"162","LekVorkutaKomiPermBog",5.3,"PermBog",1.17609125905568,1.176091259,5,-5
"163","LekVorkutaKomiPermBog",7.6,"PermBog",1.17609125905568,1.556302501,26,-5
"164","LekVorkutaKomiMarsh ",8.8,"Marshes",1.17609125905568,1.806179974,54,-5
"165","LekVorkutaKomiPermWet",7.1,"PermWet",1.17609125905568,2.164352856,136,-5
"183","InnokoPermBog",7,"PermBog",0.845098040014257,0.95568775,-0.97,-3.01
"184","InnokoBog",6,"Bog",0.602059991327962,1.055760465,1.37,-3.01
"185","InnokoBog",12,"Bog",0.602059991327962,1.218797998,6.55,-3.01
"186","InnokoFen",12,"Fen",0.602059991327962,1.681241237,38,-3.01
"187","InnokoBog",12,"Bog",0.602059991327962,2.124830149,123.3,-3.01
"190","ToolikPermWet",6.5,"PermWet",1.38021124171161,2.263162465,173.3,-8.37
"191","ToolikPermWet",4.5,"PermWet",1.27875360095283,2,90,-8.37
"197","MoosoneeBog",13,"Bog",1.07918124604762,1.004321374,0.1,-0.08
"198","MoosoneeBog",12,"Bog",1,1.146128036,4,-0.08
"199","MoosoneeFen",12,"Fen",0.954242509439325,1.33243846,11.5,-0.08
"200","MoosoneeFen",10,"Fen",0.954242509439325,1.568201724,27,-0.08
"201","MoosoneeFen",13,"Fen",0.954242509439325,1.673020907,37.1,-0.08
"202","MoosoneeBog",15,"Bog",1.20411998265592,1.84509804,60,-0.08
"203","MoosoneeFen",14,"Fen",1,1.954242509,80,-0.08
"204","MoosoneeFen",15,"Fen",1,1.976349979,84.7,-0.08
"205","MoosoneeMarsh ",10,"Marshes",0.845098040014257,1.984527313,86.5,-0.08
"211","LenaPermBog",4.7,"PermBog",0.698970004336019,1.155336037,4.3,-15.15
"212","LenaPermWet",3.6,"PermWet",0.698970004336019,1.579783597,28,-15.15
"219","BottemyraPermBog",12,"PermBog",1,1,0,-0.01
"220","BottemyraBog",10,"Bog",1,1.86332286,63,-0.01
"221","BottemyraMarsh ",13,"Marshes",1,2.555094449,349,-0.01
"224","FortSimpFen",5.5,"Bog",1.14612803567824,1.139879086,3.8,-3.19
"225","FortSimpFen",11.6,"Fen",1.11394335230684,1.462397998,19,-3.19
"226","FortSimpFen",12,"Fen",1.11394335230684,1.86332286,63,-3.19
"227","FortSimpBog",7,"Bog",1.14612803567824,1.86923172,64,-3.19
"235","StordalenPermBog",6.5,"PermBog",1.30102999566398,1.063333359,1.57,-2.86
"236","StordalenBog",7.866666667,"Bog",1.30102999566398,1.456366033,18.6,-2.86
"237","StordalenMarsh ",8.775,"Marshes",1.30102999566398,2.319792888,198.83,-2.86
"241","BarrowPermWet",3.9,"PermWet",0.845098040014257,1.913813852,72,-10.45
"242","IvotukPermWet",3.9,"PermWet",0.301029995663981,1.913813852,72,-12.21
"243","BarrowPermWet",3.9,"PermWet",0.845098040014257,2.025305865,96,-10.45
"244","BarrowPermWet",2.7,"PermWet",0.845098040014257,2.121887985,122.4,-10.44
"255","NorthPointPermBog",7.8,"PermBog",1.04139268515823,1.017033339,0.4,2.67
"256","NorthPointFen",10.5,"Fen",1.04139268515823,1.041392685,1,-0.33
"257","NorthPointPermBog",8.3,"PermBog",1.04139268515823,1.096910013,2.5,-0.5
"258","NorthPointBog",7.8,"Bog",1.04139268515823,1.10720997,2.8,-0.5
"259","NorthPointFen",12.3,"Fen",1.04139268515823,1.120573931,3.2,2.67
"260","NorthPointPermBog",7,"PermBog",1.04139268515823,1.127104798,3.4,2.67
"261","NorthPointBog",10.6,"Bog",1.04139268515823,1.130333768,3.5,-0.5
"262","NorthPointFen",12.1,"Fen",1.04139268515823,1.130333768,3.5,-0.33
"263","NorthPointFen",8.2,"Fen",1.04139268515823,1.167317335,4.7,-0.33
"264","NorthPointBog",9.3,"Bog",1.04139268515823,1.209515015,6.2,-0.5
"265","NorthPointFen",13.6,"Fen",1.04139268515823,1.212187604,6.3,2.67
"266","NorthPointFen",12.7,"Fen",1.04139268515823,1.225309282,6.8,2.67
"267","NorthPointBog",10.4,"Bog",1.04139268515823,1.257678575,8.1,-0.5
"268","NorthPointFen",11.9,"Fen",1.04139268515823,1.324282455,11.1,2.67
"269","NorthPointFen",13.3,"Fen",1.04139268515823,1.357934847,12.8,2.67
"270","NorthPointBog",9.7,"Bog",1.04139268515823,1.404833717,15.4,-0.5
"271","NorthPointFen",6.3,"Fen",1.04139268515823,1.421603927,16.4,-0.33
"272","NorthPointBog",13,"Bog",1.04139268515823,1.620136055,31.7,-0.5
"273","NorthPointBog",7.8,"Bog",1.04139268515823,1.811575006,54.8,-0.5
"274","NorthPointBog",12,"Bog",1.04139268515823,2.059941888,104.8,-0.5
"283","FairbanksPermBog",12.5,"PermBog",1.17609125905568,1,0,-1.21
"284","FairbanksPermBog",12.5,"PermBog",1.17609125905568,1.041392685,1,-2.21
"285","FairbanksBog",10.5,"Bog",1.17609125905568,1.84509804,60,-1.21
"286","FairbanksBog",10.5,"Bog",1.17609125905568,2.041392685,100,-2.21
"287","Fairbanks-",11,"Marshes",1.17609125905568,2.553883027,348,-2.21
"294","WanderingBog",11.7,"Bog",1.32221929473392,1.123851641,3.3,1.18
"295","WanderingBog",10.6,"Bog",1.32221929473392,1.128722284,3.45,1.18
