ID,NUM,STUDY,DATABASE,YEAR,COUNTRY,SITE,NUMBER.LAKES,LAT,LONG,ECOREGION,PERMA.ZONE,LAKE.TYPE,BOTTOM,TALIK,SA,DEPTH,SEASON,YEAR.S,MONTH,PATHWAY,D.METHOD,K600_EQ,K_REF,E.METHOD,E.LOCATION,S.METHOD,D.DAYS,E.DAYS,LENGTH,CH4.D.FLUX,log.CH4.D.FLUX,CH4.E.FLUX,log.CH4.E.FLUX.plus1,Seasonal.Diff.Flux,Seasonal.Ebul,Seasonal.Storage,IBS,TEMP,DOC,PH,ICEFREE.DAYS,CLASS,SIZE,TYPE,GRID_T,NOTES,CD_Pcp_An,BIOME,ANN_T,SUM_T
66,13,Engram et al. 2020,KUHN ,2020,USA,NewLake,1,70.39,-157.409,AT,C,GP,M,-,1.4869,-,Icefree,2009,June,E,-,-,-,BT,W ,-,1,1,-,-,-,0,0,-,-,-,-,-,-,-,-,MLOP,M,OP,4.85,-,155.744,11,-2.21,12.59
67,13,Engram et al. 2020,KUHN ,2020,USA,CoffeeLake,1,70.388,-157.391,AT,C,GP,M,-,0.2365,-,Icefree,2009,July,E,-,-,-,BT,W ,-,2,1,-,-,-,0,0,-,-,-,-,-,-,-,-,MLOP,M,OP,4.85,-,155.744,11,-2.21,12.59
68,13,Engram et al. 2020,KUHN ,2020,USA,Ikroavik ,-,71.247,-156.641,AT,C,GP,M,-,5.2388,2.3,Icefree,"2009, 2011",September,E,-,-,-,BT,W ,-,-,3,-,-,-,0.77,0.247973266,-,-,-,-,-,-,-,-,MLOP,M,OP,-,-,116.436,11,-2.21,12.59
69,13,Engram et al. 2020,KUHN ,2020,USA,GullLake,1,71.231,-156.672,AT,C,GP,M,-,0.5264,3.6,Icefree,2011,October,E,-,-,-,BT,W ,-,-,1,-,-,-,28.2,1.465382851,-,-,-,-,-,-,-,-,MLOP,M,OP,-,-,116.436,11,-2.21,12.59
70,13,Engram et al. 2020,KUHN ,2020,USA,Pipeline,1,71.174,-156.789,AT,C,GP,M,-,0.7099,1.5,Icefree,2009,November,E,-,-,-,BT,W ,-,-,1,-,-,-,7.18,0.912753304,-,-,-,-,-,-,-,-,MLOP,M,OP,-,-,116.436,11,-2.21,12.59
71,13,Engram et al. 2020,KUHN ,2020,USA,Sukok,1,71.075,-156.82,AT,C,GP,M,-,18.1596,,Icefree,2009,December,E,-,-,-,BT,W ,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,LL,L,-,-,-,116.436,11,-2.21,12.59
72,13,Engram et al. 2020,KUHN ,2020,USA,NE14,1,68.677,-149.625,CB,C,GP,M,-,0.2081,,Icefree,2004,January,E,-,-,-,BT,W ,-,-,-,-,-,-,2.62,0.558708571,-,-,-,-,-,-,-,-,MLOP,M,OP,-,-,168.089,11,-2.21,12.59
73,13,Engram et al. 2020,KUHN ,2020,USA,Toolik,1,68.629,-149.593,CB,C,GP,M,-,1.3757,24,Icefree,"2004, 2007, 2010",August,E,-,-,-,BT,W ,-,-,-,-,-,-,1.65,0.423245874,-,-,-,-,-,-,-,-,MLOP,M,OP,-,-,168.089,11,-2.21,12.59
74,13,Engram et al. 2020,KUHN ,2020,USA,Lake Qalluuraq,1,70.381,-157.338,AT,C,GP,M,-,0.9587,2.3,Icefree,2009,August,E,-,-,-,BT,W ,-,1,1,-,-,-,0.24,0.093421685,-,-,-,-,-,-,-,-,MLY,M,Y,4.85,-,155.744,11,-2.21,12.59
75,13,Engram et al. 2020,KUHN ,2020,USA,Claudi-outer,1,66.547,-164.452,AT,C,T,Y,-,0.1471,8.8,Icefree,2008,September,E,-,-,-,BT,E,-,2,1,-,-,-,86.62,1.942603249,-,-,-,-,-,-,-,-,MLY,M,Y,4.85,-,284.493,11,-2.21,12.59
76,13,Engram et al. 2020,KUHN ,2020,USA,Claudi-inner,1,66.55,-164.452,AT,C,T,Y,-,0.0365,8.8,Icefree,2009,October,E,-,-,-,BT,C,-,2,1,-,-,-,1.53,0.403120521,-,-,-,-,-,-,-,-,MLY,M,Y,4.85,-,284.493,11,-4.32,9.25
77,13,Engram et al. 2020,KUHN ,2020,USA,Rhonda,1,66.566,-164.466,AT,C,T,Y,-,0.7474,1.6,Icefree,2008,November,E,-,-,-,BT,W ,-,1,1,-,-,-,77.8,1.896526217,-,-,-,-,-,-,-,-,MLY,M,Y,4.85,-,284.493,11,-4.32,9.25
78,13,Engram et al. 2020,KUHN ,2020,USA,Kim,1,66.516,-164.251,AT,C,T,Y,-,0.6082,3.3,Icefree,2008,February,E,-,-,-,BT,W,-,2,61,61,-,-,25.44,1.422261451,-,-,-,-,-,-,-,-,MLY,M,Y,13.92,-,284.493,11,-4.32,9.25
